Make,Model,Drivetrain,Body Type
Ferrari,812 Superfast,RWD,Coupe
Ferrari,F8 Tributo,RWD,Coupe
Ferrari,Roma,RWD,Coupe
Ferrari,Portofino M,RWD,Convertible
Ferrari,SF90 Stradale,AWD,Coupe
Ferrari,488 Pista,RWD,Coupe
Ferrari,GTC4Lusso,AWD,Hatchback
Ferrari,488 GTB,RWD,Coupe
Ferrari,California T,RWD,Convertible
Ferrari,LaFerrari,RWD,Coupe
Mahindra,XUV300,FWD,SUV
Mahindra,Scorpio,RWD,SUV
Mahindra,Thar,4WD,SUV
Mahindra,Bolero,RWD,SUV
Mahindra,Marazzo,FWD,MPV
Mahindra,Alturas G4,AWD,SUV
Toyota,RAV4,AWD,SUV
Toyota,Highlander,AWD,SUV
Toyota,4Runner,RWD,SUV
Toyota,Tacoma,RWD,Pickup truck
Toyota,Tundra,RWD,Pickup truck
Ford,Mustang,RWD,Coupe
Ford,F-150,RWD,Pickup Truck
Ford,Explorer,AWD,SUV
Ford,Escape,AWD,SUV
Ford,Edge,AWD,SUV
Ford,Ranger,RWD,Pickup Truck
Ford,Bronco Sport,4WD,SUV
Chevrolet,Camaro,RWD,Coupe
Chevrolet,Corvette,RWD,Coupe
Chevrolet,Spark,FWD,Hatchback
Chevrolet,Bolt EV,FWD,Hatchback
Chevrolet,Equinox,AWD,SUV
Chevrolet,Suburban,RWD,SUV
Chevrolet,Tahoe,RWD,SUV
Chevrolet,Silverado 1500,RWD,Truck
Chevrolet,Colorado,RWD,Truck
Chevrolet,Silverado HD (2500/3500),RWD,
Nissan,Altima,FWD,Sedan
Nissan,Maxima,FWD,Sedan
Nissan,Sentra,FWD,Sedan
Nissan,Versa,FWD,Sedan
Nissan,Rogue,FWD,SUV
Nissan,Murano,FWD,SUV
Nissan,Pathfinder,FWD,SUV
Nissan,Armada,RWD,SUV
Nissan,GT-R,AWD,Sports Car
BMW,X1,FWD,SUV
BMW,X3,AWD,SUV
BMW,X5,AWD,SUV
BMW,330i,RWD,Sedan
BMW,530i,RWD,Sedan
BMW,740i,RWD,Sedan
BMW,M4,RWD,Coupe
BMW,M8,AWD,Convertible
Mercedes-Benz,C-Class,RWD,Sedan
Mercedes-Benz,E-Class,RWD,Sedan
